"dataset" "learner" "memory_limit"
"94" "Fashion.MNIST.40996" "classif.ranger.pow" 10275201.84
"95" "Fashion.MNIST.40996" "classif.rpart" 6340464.96
"96" "Fashion.MNIST.40996" "classif.svm" 8353611.12
"97" "Fashion.MNIST.40996" "classif.svm.radial" 8353290.96
"98" "Fashion.MNIST.40996" "classif.xgboost.dart" 8331063.6
"99" "Fashion.MNIST.40996" "classif.xgboost.gblinear" 8338610.64
"100" "Fashion.MNIST.40996" "classif.xgboost.gbtree" 8347291.32
"101" "GesturePhaseSegmentationProcessed.4538" "classif.RcppHNSW" 436851.96
"102" "GesturePhaseSegmentationProcessed.4538" "classif.glmnet" 417200.28
"103" "GesturePhaseSegmentationProcessed.4538" "classif.kerasff" 1098712.8
"104" "GesturePhaseSegmentationProcessed.4538" "classif.ranger.pow" 1789311.84
"105" "GesturePhaseSegmentationProcessed.4538" "classif.rpart" 422124
"106" "GesturePhaseSegmentationProcessed.4538" "classif.svm" 455598.48
"107" "GesturePhaseSegmentationProcessed.4538" "classif.svm.radial" 451120.08
"108" "GesturePhaseSegmentationProcessed.4538" "classif.xgboost.dart" 471971.4
"109" "GesturePhaseSegmentationProcessed.4538" "classif.xgboost.gblinear" 445140
"110" "GesturePhaseSegmentationProcessed.4538" "classif.xgboost.gbtree" 502559.04
"111" "Internet.Advertisements.40978" "classif.RcppHNSW" 830094.36
"112" "Internet.Advertisements.40978" "classif.glmnet" 1220101.2
"113" "Internet.Advertisements.40978" "classif.kerasff" 2526618
"114" "Internet.Advertisements.40978" "classif.ranger.pow" 1136471.76
"115" "Internet.Advertisements.40978" "classif.rpart" 998171.4
"116" "Internet.Advertisements.40978" "classif.svm" 1495905.6
"117" "Internet.Advertisements.40978" "classif.svm.radial" 1703637.12
"118" "Internet.Advertisements.40978" "classif.xgboost.dart" 1253396.4
"119" "Internet.Advertisements.40978" "classif.xgboost.gblinear" 1235350.08
"120" "Internet.Advertisements.40978" "classif.xgboost.gbtree" 1253130.48
"121" "JapaneseVowels.375" "classif.RcppHNSW" 455036.4
"122" "JapaneseVowels.375" "classif.glmnet" 411373.32
"123" "JapaneseVowels.375" "classif.kerasff" 1077752.52
"124" "JapaneseVowels.375" "classif.ranger.pow" 1514083.32
"125" "JapaneseVowels.375" "classif.rpart" 411900
"126" "JapaneseVowels.375" "classif.svm" 449606.04
"127" "JapaneseVowels.375" "classif.svm.radial" 453392.88
"128" "JapaneseVowels.375" "classif.xgboost.dart" 491889.6
"129" "JapaneseVowels.375" "classif.xgboost.gblinear" 445615.2
"130" "JapaneseVowels.375" "classif.xgboost.gbtree" 501089.88
